,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,minute,notional,numberOfTrades,open,volume
0,188.332,0.0,188.26,20190319,188.57,09:30 AM,188.01,188.327,0.0,188.279,188.57,188.0,109705212.2957,1636,188.35,582525,09:30,789674.13,62,188.44,4193
1,188.519,0.0009929273835567606,188.41,20190319,188.83,09:31 AM,188.265,188.503,0.0009345447015031712,188.52,188.83,188.25,56204699.8851,1366,188.28,298163,09:31,671127.53,57,188.265,3560
2,188.645,0.0016619586687340261,188.72,20190319,188.74,09:32 AM,188.48,188.625,0.001582354096863444,188.68,188.76,188.41,33414378.882,669,188.5,177147,09:32,312584.705,21,188.48,1657
3,188.73,0.0021132892976233257,188.76,20190319,188.775,09:33 AM,188.67,188.735,0.0021664445353030393,188.74,188.8,188.65,29125222.9022,744,188.69,154318,09:33,643380.58,40,188.67,3409
4,188.608,0.0014654971008644865,188.68,20190319,188.71,09:34 AM,188.52,188.615,0.001529254966096263,188.65,188.78,188.52,26366292.9141,501,188.77,139789,09:34,505093.2,32,188.71,2678
5,188.826,0.002623027419663147,188.79,20190319,188.95,09:35 AM,188.68,188.84,0.002723985408358893,188.78,188.99,188.66,40332475.3453,1235,188.67,213580,09:35,473008.12,31,188.68,2505
6,188.911,0.0030743580485525974,188.89,20190319,188.945,09:36 AM,188.85,188.912,0.0031062991498829588,188.873,188.962,188.79,20690624.9131,491,188.79,109525,09:36,269576.175,21,188.85,1427
7,188.929,0.0031699339464350638,188.99,20190319,188.99,09:37 AM,188.83,188.919,0.003143468541420046,188.97,188.99,188.83,17504658.9178,427,188.87,92657,09:37,277725.07,23,188.83,1470
8,188.844,0.0027186033175456135,188.75,20190319,188.98,09:38 AM,188.71,188.82,0.00261778714682438,188.73,188.969,188.71,17469425.1315,411,188.95,92519,09:38,370323.375,29,188.98,1961
9,188.602,0.0014336384682369977,188.52,20190319,188.81,09:39 AM,188.49,188.676,0.0018531596637762484,188.52,188.84,188.49,26641481.9264,590,188.73,141202,09:39,856063.66,30,188.75,4539
